label,Id,predict_value
posLen_tp_13_rand_c,0,0.79
posLen_tp_13_rand_c,0,0.39
posLen_tp_13_rand_c,0,0.32
posLen_tp_13_rand_c,0,0.39
posLen_tp_13_rand_c,0,0.56
posLen_tp_13_rand_c,1,0.56
posLen_tp_13_rand_c,1,0.59
posLen_tp_13_rand_c,1,0.59
posLen_tp_13_rand_c,1,0.88
posLen_tp_13_rand_c,1,0.75
posLen_tp_13_rand_c,2,0.5
posLen_tp_13_rand_c,2,0.71
posLen_tp_13_rand_c,2,0.61
posLen_tp_13_rand_c,2,0.98
posLen_tp_13_rand_c,2,0.84
posLen_tp_13_rand_c,3,0.93
posLen_tp_13_rand_c,3,0.66
posLen_tp_13_rand_c,3,0.67
posLen_tp_13_rand_c,3,0.33
posLen_tp_13_rand_c,3,0.79
posLen_tp_13_rand_c,4,0.44
posLen_tp_13_rand_c,4,0.3
posLen_tp_13_rand_c,4,0.65
posLen_tp_13_rand_c,4,0.35
posLen_tp_13_rand_c,4,0.79
posLen_tp_13_rand_c,5,0.92
posLen_tp_13_rand_c,5,0.82
posLen_tp_13_rand_c,5,0.83
posLen_tp_13_rand_c,5,0.33
posLen_tp_13_rand_c,5,0.77
posLen_tp_13_rand_c,6,0.98
posLen_tp_13_rand_c,6,0.73
posLen_tp_13_rand_c,6,0.76
posLen_tp_13_rand_c,6,0.6
posLen_tp_13_rand_c,6,0.52
